Date,Đóng cửa,Log-return 
5/6/2024,23.0559,2.15084
5/7/2024,23.6445,2.52088
5/8/2024,23.3011,-1.46300
5/9/2024,23.3011,0.00000
5/10/2024,23.3011,0.00000
5/13/2024,23.1540,-0.63330
5/14/2024,23.1540,0.00000
5/15/2024,23.0559,-0.42458
5/16/2024,23.1540,0.42458
5/17/2024,23.1540,0.00000
5/20/2024,24.4294,5.36198
5/21/2024,24.3803,-0.20119
5/22/2024,23.9879,-1.62259
5/23/2024,25.6558,6.72201
5/24/2024,25.5086,-0.57540
5/27/2024,26.5878,4.14368
5/28/2024,27.0784,1.82839
5/29/2024,26.3916,-2.56906
5/30/2024,26.3916,0.00000
5/31/2024,26.0973,-1.12139
6/3/2024,26.1954,0.37520
6/4/2024,26.4897,1.11722
6/5/2024,26.8821,1.47047
6/6/2024,26.3916,-1.84149
6/7/2024,26.0973,-1.12139
6/10/2024,25.9010,-0.75503
6/11/2024,25.2500,-2.54554
6/12/2024,25.7500,1.96085
6/13/2024,25.7500,0.00000
6/14/2024,25.2000,-2.15906
6/17/2024,25.6000,1.57484
6/18/2024,25.6000,0.00000
6/19/2024,25.6500,0.19512
6/20/2024,26.5000,3.26012
6/21/2024,26.5000,0.00000
6/24/2024,25.0000,-5.82689
6/25/2024,24.7500,-1.00503
6/26/2024,25.5000,2.98530
6/27/2024,25.8000,1.16960
6/28/2024,25.0500,-2.95007
7/1/2024,25.4000,1.38753
7/2/2024,25.9000,1.94938
7/3/2024,25.8000,-0.38685
7/4/2024,26.1000,1.15608
7/5/2024,26.1000,0.00000
7/8/2024,26.5000,1.52094
7/9/2024,26.4500,-0.18886
7/10/2024,26.2500,-0.75902
7/11/2024,26.0500,-0.76482
7/12/2024,26.5500,1.90120
7/15/2024,26.6000,0.18815
7/16/2024,26.8000,0.74907
7/17/2024,25.2500,-5.95757
7/18/2024,25.9500,2.73455
7/19/2024,25.2000,-2.93276
7/22/2024,24.1000,-4.46322
7/23/2024,24.0500,-0.20768
7/24/2024,24.2000,0.62176
7/25/2024,24.1000,-0.41408
7/26/2024,24.3500,1.03200
7/29/2024,24.5000,0.61413
7/30/2024,24.4500,-0.20429
7/31/2024,24.4500,0.00000
8/1/2024,23.6000,-3.53835
8/2/2024,23.8000,0.84389
8/5/2024,22.7000,-4.73207
8/6/2024,23.2500,2.39402
